address,city,type,price,bedrooms,bathrooms,sqft,days_on_zillow,url,zip
284 Elmwood St,Mountain View,House For Rent,3500,3.0,2.0,1200.0,1 hour ago,http://www.zillow.com/homes/for_sale//homedetails/284-Elmwood-St-Mountain-View-CA-94043/19513420_zpid/,94043
100 N Whisman Rd # 324408,Mountain View,Apartment For Rent,4390+,3.0,2.0,1125.0,Updated today,http://www.zillow.com/homes/for_sale//homedetails/100-N-Whisman-Rd-324408-Mountain-View-CA-94043/2103388582_zpid/,94043
128 Ada Ave APT 12,Mountain View,Townhouse For Rent,4600,3.0,2.5,1625.0,0.333,http://www.zillow.com/homes/for_sale//homedetails/128-Ada-Ave-APT-12-Mountain-View-CA-94043/19518048_zpid/,94043
"1 Forest Glen St, Mountain View, CA",NA,Forest Glen,34938+,NA,NA,NA,Updated today,NA,NA
"300 Granada Dr, Mountain View, CA",NA,300 Granada,34500+,NA,NA,NA,Updated today,NA,NA
858 Sycamore Loop,Mountain View,House For Rent,5500,4.0,3.5,NA,2,http://www.zillow.com/homes/for_sale//homedetails/858-Sycamore-Loop-Mountain-View-CA-94043/2094759965_zpid/,94043
1947 Colony St,Mountain View,Townhouse For Rent,4595,3.0,3.0,1265.0,4,http://www.zillow.com/homes/for_sale//homedetails/1947-Colony-St-Mountain-View-CA-94043/2094773386_zpid/,94043
1924 Hackett Ave,Mountain View,House For Rent,4650,3.0,2.0,1200.0,4,http://www.zillow.com/homes/for_sale//homedetails/1924-Hackett-Ave-Mountain-View-CA-94043/2097958220_zpid/,94043
1874 San Luis Ave,Mountain View,House For Rent,4100,3.0,2.0,1311.0,4,http://www.zillow.com/homes/for_sale//homedetails/1874-San-Luis-Ave-Mountain-View-CA-94043/19511405_zpid/,94043
Dell Ave,Mountain View,House For Rent,4995,3.0,2.0,1488.0,14,http://www.zillow.com/homes/for_sale//homedetails/Dell-Ave-Mountain-View-CA-94043/2107186970_zpid/,94043
2532 Betlo Ave,Mountain View,House For Rent,4500,3.0,2.0,1206.0,14,http://www.zillow.com/homes/for_sale//homedetails/2532-Betlo-Ave-Mountain-View-CA-94043/19508176_zpid/,94043
920 San Marcos Cir,Mountain View,House For Rent,4200,3.0,2.0,1800.0,18,http://www.zillow.com/homes/for_sale//homedetails/920-San-Marcos-Cir-Mountain-View-CA-94043/19511542_zpid/,94043
120 Kittoe Dr # DUPLEX,Mountain View,Apartment For Rent,3975,3.0,2.0,NA,19,http://www.zillow.com/homes/for_sale//homedetails/120-Kittoe-Dr-DUPLEX-Mountain-View-CA-94043/2094949624_zpid/,94043
215 Cypress Point Dr,Mountain View,Condo For Rent,3795,3.0,2.0,1526.0,20,http://www.zillow.com/homes/for_sale//homedetails/215-Cypress-Point-Dr-Mountain-View-CA-94043/19516543_zpid/,94043
455 Bedford Loop,Mountain View,Townhouse For Rent,5100,3.0,3.5,1843.0,23,http://www.zillow.com/homes/for_sale//homedetails/455-Bedford-Loop-Mountain-View-CA-94043/82954330_zpid/,94043
24 Tyrella Ct,Mountain View,Townhouse For Rent,5400,4.0,2.0,1525.0,28,http://www.zillow.com/homes/for_sale//homedetails/24-Tyrella-Ct-Mountain-View-CA-94043/19517007_zpid/,94043
2503 Mardell Way,Mountain View,House For Rent,4200,3.0,2.0,1140.0,29,http://www.zillow.com/homes/for_sale//homedetails/2503-Mardell-Way-Mountain-View-CA-94043/19507795_zpid/,94043
854 Sycamore Loop,Mountain View,Townhouse For Rent,5795,4.0,3.5,1749.0,32,http://www.zillow.com/homes/for_sale//homedetails/854-Sycamore-Loop-Mountain-View-CA-94043/2099719902_zpid/,94043
1075 Space Park Way SPC 237,Mountain View,Home For Rent,3099,3.0,2.0,1404.0,40,http://www.zillow.com/homes/for_sale//homedetails/1075-Space-Park-Way-SPC-237-Mountain-View-CA-94043/2095180323_zpid/,94043
Stockwell Dr,Mountain View,Townhouse For Rent,4300,3.0,2.5,1388.0,42,http://www.zillow.com/homes/for_sale//homedetails/Stockwell-Dr-Mountain-View-CA-94043/2095207267_zpid/,94043
227 Ada Ave APT B,Mountain View,Townhouse For Rent,4000,3.0,2.5,1460.0,46,http://www.zillow.com/homes/for_sale//homedetails/227-Ada-Ave-APT-B-Mountain-View-CA-94043/19518244_zpid/,94043
851 Avery Dr,Mountain View,Townhouse For Rent,5500,3.0,2.5,1700.0,52,http://www.zillow.com/homes/for_sale//homedetails/851-Avery-Dr-Mountain-View-CA-94043/94697353_zpid/,94043
822 Whipple Cir,Mountain View,House For Rent,4338,3.0,2.5,1776.0,71,http://www.zillow.com/homes/for_sale//homedetails/822-Whipple-Cir-Mountain-View-CA-94043/2095575442_zpid/,94043
335 Wescoat Ct,Mountain View,Townhouse For Rent,4338,3.0,2.5,1776.0,71,http://www.zillow.com/homes/for_sale//homedetails/335-Wescoat-Ct-Mountain-View-CA-94043/2095575821_zpid/,94043
330 Wescoat Ct,Mountain View,House For Rent,4338,3.0,2.5,1680.0,71,http://www.zillow.com/homes/for_sale//homedetails/330-Wescoat-Ct-Mountain-View-CA-94043/2095575915_zpid/,94043
322 Wescoat Ct,Mountain View,Townhouse For Rent,4338,3.0,2.5,1680.0,71,http://www.zillow.com/homes/for_sale//homedetails/322-Wescoat-Ct-Mountain-View-CA-94043/2095576002_zpid/,94043
405 Stewart Dr,Mountain View,House For Rent,4209,3.0,2.5,1680.0,71,http://www.zillow.com/homes/for_sale//homedetails/405-Stewart-Dr-Mountain-View-CA-94043/2095576060_zpid/,94043
228 Stewart Dr,Mountain View,Townhouse For Rent,4209,3.0,2.5,1631.0,71,http://www.zillow.com/homes/for_sale//homedetails/228-Stewart-Dr-Mountain-View-CA-94043/2095576262_zpid/,94043
515 Shenandoah Ct,Mountain View,House For Rent,4338,3.0,2.5,1760.0,71,http://www.zillow.com/homes/for_sale//homedetails/515-Shenandoah-Ct-Mountain-View-CA-94043/2095576658_zpid/,94043
320 Wescoat Ct,Mountain View,House For Rent,4338,3.0,2.0,1760.0,71,http://www.zillow.com/homes/for_sale//homedetails/320-Wescoat-Ct-Mountain-View-CA-94043/2095577083_zpid/,94043
Rock St,Mountain View,Apartment For Rent,7350,3.0,2.0,1650.0,87,http://www.zillow.com/homes/for_sale//homedetails/Rock-St-Mountain-View-CA-94043/2095771094_zpid/,94043
Rock St,Mountain View,Condo For Rent,7395,3.0,2.0,1650.0,299,http://www.zillow.com/homes/for_sale//homedetails/Rock-St-Mountain-View-CA-94043/2102897803_zpid/,94043
141 Frederick Ct,Mountain View,Townhouse For Rent,4995,3.0,2.5,1288.0,432,http://www.zillow.com/homes/for_sale//homedetails/141-Frederick-Ct-Mountain-View-CA-94043/51073584_zpid/,94043
600 Rainbow Dr APT 157,Mountain View,Apartment For Rent,3816,3.0,2.0,1325.0,Updated today,http://www.zillow.com/homes/for_sale//homedetails/600-Rainbow-Dr-APT-157-Mountain-View-CA-94041/19519053_zpid/,94041
515 Front Ln,Mountain View,House For Rent,5150,3.0,2.5,1647.0,5,http://www.zillow.com/homes/for_sale//homedetails/515-Front-Ln-Mountain-View-CA-94041/19515291_zpid/,94041
171 Gary Ct,Mountain View,House For Rent,4600,3.0,2.0,1540.0,19,http://www.zillow.com/homes/for_sale//homedetails/171-Gary-Ct-Mountain-View-CA-94041/19515538_zpid/,94041
34 Church St,Mountain View,House For Rent,5200,3.0,2.0,1500.0,19,http://www.zillow.com/homes/for_sale//homedetails/34-Church-St-Mountain-View-CA-94041/2100043725_zpid/,94041
221 W Evelyn Ave,Mountain View,Townhouse For Rent,4890,3.0,3.5,1704.0,31,http://www.zillow.com/homes/for_sale//homedetails/221-W-Evelyn-Ave-Mountain-View-CA-94041/121041844_zpid/,94041
108 Bryant St APT 22,Mountain View,Condo For Rent,4999,3.0,2.5,1370.0,41,http://www.zillow.com/homes/for_sale//homedetails/108-Bryant-St-APT-22-Mountain-View-CA-94041/54770315_zpid/,94041
493 Magritte Way,Mountain View,Townhouse For Rent,4940,3.0,3.5,1637.0,66,http://www.zillow.com/homes/for_sale//homedetails/493-Magritte-Way-Mountain-View-CA-94041/94696743_zpid/,94041
563 Alice Ave,Mountain View,House For Rent,4299,3.0,2.5,2000.0,99,http://www.zillow.com/homes/for_sale//homedetails/563-Alice-Ave-Mountain-View-CA-94041/19518865_zpid/,94041
692 Church St,Mountain View,House For Rent,7500,4.0,3.0,2619.0,185,http://www.zillow.com/homes/for_sale//homedetails/692-Church-St-Mountain-View-CA-94041/19515420_zpid/,94041
818 Devoto St,Mountain View,House For Rent,4750,3.0,2.0,1850.0,335,http://www.zillow.com/homes/for_sale//homedetails/818-Devoto-St-Mountain-View-CA-94041/19519244_zpid/,94041
255 S Rengstorff Ave APT 46,Mountain View,Condo For Rent,3488,3.0,2.0,1292.0,1,http://www.zillow.com/homes/for_sale//homedetails/255-S-Rengstorff-Ave-APT-46-Mountain-View-CA-94040/19514560_zpid/,94040
2043 W El Camino Real # HRNPGHGNP,Mountain View,Apartment For Rent,3995+,3.0,2.0,1240.0,NA,http://www.zillow.com/homes/for_sale//homedetails/2043-W-El-Camino-Real-HRNPGHGNP-Mountain-View-CA-94040/2096437280_zpid/,94040
1509 Gretel Ln,Mountain View,House For Rent,5500,4.0,2.0,1710.0,3,http://www.zillow.com/homes/for_sale//homedetails/1509-Gretel-Ln-Mountain-View-CA-94040/19533155_zpid/,94040
49 Showers Dr APT L470,Mountain View,Townhouse For Rent,4350,3.0,2.5,1526.0,6,http://www.zillow.com/homes/for_sale//homedetails/49-Showers-Dr-APT-L470-Mountain-View-CA-94040/19509702_zpid/,94040
448 Del Medio Ave,Mountain View,Condo For Rent,4600,4.0,2.5,1572.0,6,http://www.zillow.com/homes/for_sale//homedetails/448-Del-Medio-Ave-Mountain-View-CA-94040/19509347_zpid/,94040
1511 Miramonte Ave,Mountain View,House For Rent,4500,3.0,2.0,1178.0,6,http://www.zillow.com/homes/for_sale//homedetails/1511-Miramonte-Ave-Mountain-View-CA-94040/19532975_zpid/,94040
1056 Petie Way,Mountain View,House For Rent,5950,3.0,2.0,1324.0,9,http://www.zillow.com/homes/for_sale//homedetails/1056-Petie-Way-Mountain-View-CA-94040/19532790_zpid/,94040
191 E El Camino Real SPC 126,Mountain View,Home For Rent,3295,3.0,2.0,1344.0,13,http://www.zillow.com/homes/for_sale//homedetails/191-E-El-Camino-Real-SPC-126-Mountain-View-CA-94040/2094879895_zpid/,94040
191 E El Camino Real SPC 159,Mountain View,Home For Rent,3395,3.0,2.0,1000.0,15,http://www.zillow.com/homes/for_sale//homedetails/191-E-El-Camino-Real-SPC-159-Mountain-View-CA-94040/2094912548_zpid/,94040
49 Showers Dr,Mountain View,Townhouse For Rent,3990,3.0,2.5,1526.0,34,http://www.zillow.com/homes/for_sale//homedetails/49-Showers-Dr-Mountain-View-CA-94040/2104302077_zpid/,94040
160 Montelena Ct,Mountain View,Townhouse For Rent,4600,3.0,3.0,1796.0,40,http://www.zillow.com/homes/for_sale//homedetails/160-Montelena-Ct-Mountain-View-CA-94040/19510964_zpid/,94040
932 Rich Pl,Mountain View,House For Rent,4750,4.0,2.5,1864.0,48,http://www.zillow.com/homes/for_sale//homedetails/932-Rich-Pl-Mountain-View-CA-94040/19531351_zpid/,94040
837 Berry Ave,Los Altos,House For Rent,6200,4.0,2.0,1424.0,0.125,http://www.zillow.com/homes/for_sale//homedetails/837-Berry-Ave-Los-Altos-CA-94024/19529946_zpid/,94024
1449 Topar Ave,Los Altos,House For Rent,5995,3.0,2.0,1600.0,0.5,http://www.zillow.com/homes/for_sale//homedetails/1449-Topar-Ave-Los-Altos-CA-94024/19627941_zpid/,94024
590 Deodara Dr,Los Altos,Apartment For Rent,1500,3.0,2.0,1946.0,1,http://www.zillow.com/homes/for_sale//homedetails/590-Deodara-Dr-Los-Altos-CA-94024/19629731_zpid/,94024
1075 Highlands Cir,Los Altos,House For Rent,7000,4.0,2.0,1987.0,7,http://www.zillow.com/homes/for_sale//homedetails/1075-Highlands-Cir-Los-Altos-CA-94024/19630904_zpid/,94024
872 Lockhaven Dr,Los Altos,House For Rent,6000,4.0,2.0,2300.0,8,http://www.zillow.com/homes/for_sale//homedetails/872-Lockhaven-Dr-Los-Altos-CA-94024/19630267_zpid/,94024
1931 Alford Ave,Los Altos,House For Rent,11500,4.0,3.5,3057.0,8,http://www.zillow.com/homes/for_sale//homedetails/1931-Alford-Ave-Los-Altos-CA-94024/19620986_zpid/,94024
737 Filip Rd,Los Altos,House For Rent,7250,4.0,2.0,2147.0,13,http://www.zillow.com/homes/for_sale//homedetails/737-Filip-Rd-Los-Altos-CA-94024/19530351_zpid/,94024
1480 Oakley Dr,Los Altos,House For Rent,6995,4.0,2.5,2300.0,27,http://www.zillow.com/homes/for_sale//homedetails/1480-Oakley-Dr-Los-Altos-CA-94024/19620806_zpid/,94024
1922 Annette Ln,Los Altos,House For Rent,5950,3.0,2.5,1740.0,30,http://www.zillow.com/homes/for_sale//homedetails/1922-Annette-Ln-Los-Altos-CA-94024/19620913_zpid/,94024
Edge Ln,Los Altos,Apartment For Rent,6875,3.0,2.0,2500.0,37,http://www.zillow.com/homes/for_sale//homedetails/Edge-Ln-Los-Altos-CA-94024/2095151538_zpid/,94024
52 Woods Ln,Los Altos,Townhouse For Rent,5800,3.0,2.0,1785.0,40,http://www.zillow.com/homes/for_sale//homedetails/52-Woods-Ln-Los-Altos-CA-94024/19631417_zpid/,94024
1258 Green Oak Ln,Los Altos,House For Rent,7895,5.0,4.0,3600.0,47,http://www.zillow.com/homes/for_sale//homedetails/1258-Green-Oak-Ln-Los-Altos-CA-94024/19620437_zpid/,94024
1955 Laver Ct,Los Altos,House For Rent,5700,4.0,2.5,2258.0,72,http://www.zillow.com/homes/for_sale//homedetails/1955-Laver-Ct-Los-Altos-CA-94024/19629872_zpid/,94024
24621 Summerhill Ave,Los Altos,House For Rent,20000,4.0,6.0,6088.0,116,http://www.zillow.com/homes/for_sale//homedetails/24621-Summerhill-Ave-Los-Altos-CA-94024/19628893_zpid/,94024
